var,cat1,cat2
V360,cat_1,cat_3
V361,cat_1,cat_3
V362,cat_1,cat_3
V363,cat_1,cat_3
V364,cat_1,cat_3
V365,cat_1,cat_3
V366,cat_1,cat_3
V367,cat_1,cat_3
V368,cat_1,cat_3
V369,cat_1,cat_3
V370,cat_1,cat_3
V371,cat_1,cat_3
V372,cat_1,cat_3
V373,cat_1,cat_3
V374,cat_1,cat_3
V375,cat_1,cat_3
V376,cat_1,cat_3
V377,cat_1,cat_3
V378,cat_1,cat_3
V379,cat_1,cat_3
V380,cat_1,cat_3
V381,cat_1,cat_3
V382,cat_1,cat_3
V383,cat_1,cat_3
V384,cat_1,cat_3
V385,cat_1,cat_3
V386,cat_1,cat_3
V387,cat_1,cat_3
V388,cat_1,cat_3
V389,cat_1,cat_3
V390,cat_1,cat_3
V391,cat_1,cat_3
V392,cat_1,cat_3
V393,cat_1,cat_3
V394,cat_1,cat_3
V395,cat_1,cat_3
V396,cat_1,cat_3
V397,cat_1,cat_3
V398,cat_1,cat_3
V399,cat_1,cat_3
V400,cat_1,cat_3
V401,cat_1,cat_3
V402,cat_1,cat_3
V403,cat_1,cat_3
V404,cat_1,cat_3
V405,cat_1,cat_3
V406,cat_1,cat_3
V407,cat_1,cat_3
V408,cat_1,cat_3
V409,cat_1,cat_3
V410,cat_1,cat_3
V411,cat_1,cat_3
V412,cat_1,cat_3
V413,cat_1,cat_3
V414,cat_1,cat_3
V415,cat_1,cat_3
V416,cat_1,cat_3
V417,cat_1,cat_3
V418,cat_1,cat_3
V419,cat_1,cat_3
V420,cat_1,cat_3
V421,cat_1,cat_3
V422,cat_1,cat_3
V423,cat_1,cat_3
V424,cat_1,cat_3
V425,cat_1,cat_3
V426,cat_1,cat_3
V427,cat_1,cat_3
V428,cat_1,cat_3
V429,cat_1,cat_3
V430,cat_1,cat_3
V431,cat_1,cat_3
V432,cat_1,cat_3
V433,cat_1,cat_3
V434,cat_1,cat_3
V435,cat_1,cat_3
V436,cat_1,cat_3
V437,cat_1,cat_3
V438,cat_1,cat_3
V439,cat_1,cat_3
V440,cat_1,cat_3
V441,cat_1,cat_3
V442,cat_1,cat_3
V443,cat_1,cat_3
V444,cat_1,cat_3
V445,cat_1,cat_3
V446,cat_1,cat_3
V447,cat_1,cat_3
V448,cat_1,cat_3
V449,cat_1,cat_3
V450,cat_1,cat_3
